Epoch, Train Generator Loss, Val Generator Loss, Train Discriminator X Loss, Val Discriminator X Loss, Train Discriminator Y Loss, Val Discriminator Y Loss
1, 23.8027, 18.8911,0.5873, 0.5129,0.6184, 0.6035
2, 21.4648, 18.0089,0.4810, 0.4870,0.5564, 0.6063
3, 20.4313, 17.0555,0.4760, 0.4695,0.5616, 0.5877
4, 19.8559, 16.8688,0.4493, 0.4440,0.5462, 0.6429
5, 19.3734, 16.5716,0.4266, 0.4430,0.5370, 0.5163
6, 19.0546, 17.5318,0.4018, 0.4385,0.5212, 0.5422
7, 18.8162, 16.7303,0.3827, 0.4058,0.5090, 0.5176
8, 18.6495, 16.6635,0.3741, 0.4104,0.4960, 0.5117
9, 18.5163, 17.9330,0.3670, 0.3775,0.4769, 0.5029
10, 18.3941, 16.6452,0.3608, 0.3640,0.4738, 0.4834
11, 18.4199, 16.3271,0.3482, 0.3795,0.4608, 0.4670
12, 18.2350, 16.2961,0.3478, 0.3763,0.4548, 0.4327
13, 18.1775, 16.4342,0.3471, 0.3667,0.4419, 0.4312
14, 18.0631, 16.5577,0.3422, 0.3584,0.4344, 0.4822
15, 17.9408, 16.1954,0.3415, 0.3417,0.4312, 0.4626
16, 17.9154, 16.4251,0.3311, 0.3809,0.4273, 0.4367
17, 17.8617, 16.1793,0.3315, 0.3475,0.4252, 0.4965
18, 17.7318, 16.3322,0.3264, 0.3514,0.4202, 0.4695
19, 17.8756, 16.3045,0.3229, 0.3367,0.4225, 0.3988
20, 17.5882, 16.0771,0.3213, 0.3013,0.4186, 0.4071
21, 17.8070, 16.3173,0.3139, 0.2918,0.4186, 0.4148
22, 17.6997, 15.9280,0.3127, 0.3114,0.4094, 0.4208
23, 17.5717, 16.1506,0.3138, 0.3218,0.4143, 0.4303
24, 17.4935, 16.0019,0.3134, 0.3382,0.4151, 0.4129
25, 17.4960, 16.0279,0.3079, 0.3198,0.4242, 0.4399
26, 17.4820, 15.8835,0.3073, 0.3209,0.4217, 0.3961
27, 17.4436, 15.6473,0.3022, 0.2859,0.4226, 0.3747
28, 17.3524, 15.8422,0.3087, 0.2968,0.4165, 0.4031
29, 17.3471, 16.3419,0.3047, 0.2820,0.4209, 0.4046
